city,name,address,latitude,longitude,state,country,michelin_stars,chef,google_maps_link,website,venue_type,cuisine_type,collection,notes,description
Scottsdale,Fat Ox,"6316 N Scottsdale Rd, Scottsdale, AZ 85253, USA",33.5306626,-111.9263469,Arizona,United States,0,,https://www.google.com/maps/place/Fat+Ox/data=!4m2!3m1!1s0x5370cb410619aaab:0x83169732dd40a39,https://www.ilovefatox.com/,Restaurant,,Saved,,"Spacious, sleek Italian spot offering housemade pastas & roasted meats,..."
Winnipeg,Nunavut Gallery Inc,"603 Corydon Ave, Winnipeg, MB R3L 0P3, Canada",49.8728146,-97.14785970000001,Manitoba,Canada,0,,https://www.google.com/maps/place/Nunavut+Gallery+Inc/data=!4m2!3m1!1s0x52ea7403737c246f:0xf7b3d6889f286a75,http://www.nunavutgallery.com/,Museum,,Saved,,
Calgary,Ricardo's Hideaway,"1530 5 St SW, Calgary, AB T2R 1K3, Canada",51.038219,-114.0741681,Alberta,Canada,0,,https://www.google.com/maps/place/Ricardo's+Hideaway/data=!4m2!3m1!1s0x5371701e91b35f5f:0xa8eab7c8cf9fa9c0,http://www.ricardoshideaway.ca/,Bar,,Saved,,
Larchmont,Roots,"1924 Palmer Ave, Larchmont, NY 10538, USA",40.932075,-73.759331,New York,United States,0,,https://www.google.com/maps/place/Roots/data=!4m2!3m1!1s0x53716ffce54e712d:0x9da685b57ddb3d09,https://www.root2riseny.com/,Cafe,,Saved,,
Calgary,Charcut,"4150 University Ave NW, Calgary, AB T3B 6K3, Canada",51.0778678,-114.1475808,Alberta,Canada,0,,https://www.google.com/maps/place/Charcut/data=!4m2!3m1!1s0x53716558c342130d:0x5147db4072d919ad,http://charcut.com/,Restaurant,,Saved,,
Calgary,Calcutta Cricket Club,"1213 1 St SW, Calgary, AB T2R 0V3, Canada",51.0409809,-114.0661764,Alberta,Canada,0,,https://www.google.com/maps/place/Calcutta+Cricket+Club/data=!4m2!3m1!1s0x5371701c13f9716d:0x2b1a0d43a9858ffc,https://www.calcuttacricketclub.com/,Restaurant,,Saved,,
Calgary,Model Milk,"308 17 Ave SW, Calgary, AB T2S 2V1, Canada",51.0379742,-114.0690666,Alberta,Canada,0,,https://www.google.com/maps/place/Model+Milk/data=!4m2!3m1!1s0x5371701c7a6522b3:0xe78f9b5fecab7810,http://www.modelmilk.ca/,Bar,,Saved,,
Farmingdale,Proof,"125 Rome St, Farmingdale, NY 11735, USA",40.7124468,-73.4191428,New York,United States,0,,https://www.google.com/maps/place/Proof/data=!4m2!3m1!1s0x537170032b579573:0xda81b02d1459d102,https://www.proof.coffee/,Restaurant,,Saved,,
Canmore,Carter-Ryan Gallery,"705 8 St, Canmore, AB T1W 2B6, Canada",51.0891175,-115.3588903,Alberta,Canada,0,,https://www.google.com/maps/place/Carter-Ryan+Gallery/data=!4m2!3m1!1s0x5370c5eae2a99b2f:0x58ad7f38f15e30af,http://www.carter-ryan.com/,Museum,,Saved,,
Canmore,Rocky Mountain Flatbread Co.,"838 10 St, Canmore, AB T1W 2A7, Canada",51.0906464,-115.3631647,Alberta,Canada,0,,https://www.google.com/maps/place/Rocky+Mountain+Flatbread+Co./data=!4m2!3m1!1s0x5370c5eb89b0a399:0x403cc3710aef4f9b,http://www.rockymountainflatbread.ca/,Restaurant,,Saved,,
